District code,District name,State,Population,Latitude,Longitude,Households_with_Internet,sex_ratio,literacy_rate
351,Godda,Jharkhand,1313551,24.8189,87.29417354838709,874,94.0,46.0
366,Gumla,Jharkhand,1025213,23.078532948929148,84.55056787479396,831,99.0,55.0
363,Jamtara,Jharkhand,791042,23.97873318077801,86.95325080091534,808,95.0,54.0
359,Latehar,Jharkhand,726978,23.72511185840708,84.48298743362838,340,97.0,48.0
356,Lohardaga,Jharkhand,461790,23.488796043165483,84.6605169064748,351,99.0,56.0
353,Pakur,Jharkhand,900422,24.57260428082189,87.69691969178076,328,99.0,39.0
358,Palamu,Jharkhand,1939869,24.196925968109337,84.20310842824594,2155,93.0,53.0
364,Ranchi,Jharkhand,2914253,23.18423506139155,85.31781937244203,22538,95.0,66.0
352,Sahibganj,Jharkhand,1150567,24.93667989690721,87.68264097938143,591,95.0,42.0
367,Simdega,Jharkhand,599578,22.60876039119805,84.59193691931536,423,100.0,57.0
556,Bagalkot,Karnataka,1889752,16.15860676328503,75.64526070853469,3745,99.0,59.0
583,Bangalore Rural,Karnataka,990923,12.936827087794446,77.47369314775169,3729,95.0,70.0
555,Belgaum,Karnataka,4779661,16.16107219152853,74.72329042357275,17560,97.0,64.0
565,Bellary,Karnataka,2452595,15.074377548209371,76.47228471074374,9626,98.0,58.0
558,Bidar,Karnataka,1703300,17.950361730769227,77.1945996153846,3971,96.0,61.0
417,Bijapur,Karnataka,255230,16.84015316666667,75.95909166666667,117,98.0,34.0
557,Bijapur,Karnataka,2177331,16.84015316666667,75.95909166666667,4987,96.0,57.0
566,Chitradurga,Karnataka,1659456,14.29102220394736,76.57821957236844,5711,97.0,66.0
567,Davanagere,Karnataka,1945497,14.330414586709884,75.91723841166937,7320,97.0,67.0
562,Dharwad,Karnataka,1847023,15.34383137697517,75.13831264108359,15013,97.0,70.0
561,Gadag,Karnataka,1064570,15.507128256880744,75.64861302752298,3373,98.0,66.0
579,Gulbarga,Karnataka,2566326,17.070459515951594,76.87503850385032,9752,97.0,56.0
574,Hassan,Karnataka,1776421,12.945098749999998,76.11049549999997,4851,101.0,69.0
564,Haveri,Karnataka,1597668,14.73758280922432,75.3961230607966,2456,95.0,68.0
576,Kodagu,Karnataka,554519,12.39684468085106,75.79336595744687,3308,102.0,74.0
581,Kolar,Karnataka,1536401,13.312799881235172,78.01376947743476,5051,98.0,66.0
560,Koppal,Karnataka,1389920,15.651253271028034,76.16170485981309,2135,99.0,58.0
573,Mandya,Karnataka,1805769,12.574901806239744,76.81570098522172,3367,100.0,64.0
577,Mysore,Karnataka,3001127,12.248100259403367,76.52881802853437,28397,99.0,65.0
559,Raichur,Karnataka,1928812,16.050795353982295,76.87368606194688,5200,100.0,51.0
568,Shimoga,Karnataka,1752753,14.063845885634592,75.17882078103197,8791,100.0,72.0
571,Tumkur,Karnataka,2678980,13.592467760074973,77.02297966260545,7971,98.0,68.0
569,Udupi,Karnataka,1177361,13.450404228534568,74.72009990316337,9070,109.0,79.0
598,Alappuzha,Kerala,2127789,9.542602965599087,76.38010796263319,28842,110.0,87.0
595,Ernakulam,Kerala,3282388,10.004879301987431,76.26957729035381,88737,103.0,87.0
596,Idukki,Kerala,1108974,9.80480963855423,77.04586641566264,8250,101.0,83.0
589,Kannur,Kerala,2523003,11.941523076923056,75.35209891725934,32653,114.0,85.0
588,Kasaragod,Kerala,1307375,12.33310309912974,75.07768497134369,10378,108.0,79.0
600,Kollam,Kerala,2635375,8.929388820570157,76.63607758524309,31542,111.0,85.0
597,Kottayam,Kerala,1974551,9.643701174068417,76.46059673302705,37849,104.0,89.0
591,Kozhikode,Kerala,3086293,11.392924270557025,75.71158720159153,36791,110.0,85.0
592,Malappuram,Kerala,4112920,10.97329875666072,75.93910775606876,27909,110.0,81.0
593,Palakkad,Kerala,2809934,10.784926903553291,76.49980490693744,27162,107.0,80.0
601,Thiruvananthapuram,Kerala,3301427,8.537101759082223,76.88711502868074,71621,109.0,84.0
594,Thrissur,Kerala,3121200,10.458932647907687,76.12321940836945,56148,111.0,86.0
590,Wayanad,Kerala,817420,11.715277464788734,76.07587007042254,4712,103.0,79.0
461,Anuppur,Madhya Pradesh,749237,23.18184220430107,81.86560000000007,1290,98.0,58.0
459,Ashoknagar,Madhya Pradesh,845071,24.630988461538447,77.82974493927135,619,90.0,56.0
457,Balaghat,Madhya Pradesh,1701698,21.80020720640569,80.42170053380795,1712,102.0,67.0
441,Barwani,Madhya Pradesh,1385881,21.702135714285728,74.91004719710673,1158,98.0,40.0
447,Betul,Madhya Pradesh,1575362,21.964626315789477,77.78734281891171,2109,97.0,60.0
420,Bhind,Madhya Pradesh,1703005,26.35951126187245,78.7618324287653,1166,84.0,64.0
444,Bhopal,Madhya Pradesh,2371061,23.48072614379085,77.39246623093679,40788,92.0,70.0
467,Burhanpur,Madhya Pradesh,757847,21.364567254408065,76.24460478589425,986,95.0,54.0
425,Chhatarpur,Madhya Pradesh,1762375,24.813637376460004,79.56449299191374,1880,88.0,54.0
455,Chhindwara,Madhya Pradesh,2090922,22.227966971713823,78.76413136439255,3588,96.0,62.0
428,Damoh,Madhya Pradesh,1264219,23.76624407960196,79.47049303482588,1432,91.0,59.0
422,Datia,Madhya Pradesh,786754,25.90226439560441,78.63916571428574,616,87.0,62.0
437,Dewas,Madhya Pradesh,1563715,22.7851110021322,76.46088805970156,3518,94.0,59.0
438,Dhar,Madhya Pradesh,2185793,22.57268171896316,75.1105620736698,2388,96.0,49.0
453,Dindori,Madhya Pradesh,704524,22.83738437047757,81.04332966714911,554,100.0,54.0
458,Guna,Madhya Pradesh,1241519,24.49043927178156,77.2235895968791,2482,91.0,53.0
421,Gwalior,Madhya Pradesh,2032036,26.04074441964285,78.12782433035713,15779,86.0,67.0
448,Harda,Madhya Pradesh,570465,22.227659781121783,77.07022571819434,986,93.0,62.0
449,Hoshangabad,Madhya Pradesh,1241350,22.595268801996703,78.02168094841929,2871,91.0,65.0
439,Indore,Madhya Pradesh,3276697,22.680265752128648,75.9133801324502,48691,93.0,70.0
451,Jabalpur,Madhya Pradesh,2463289,23.18525572327043,79.98328754716981,20443,93.0,71.0
464,Jhabua,Madhya Pradesh,1025048,22.419578015397764,74.4092161676647,744,99.0,34.0
450,Katni,Madhya Pradesh,1292042,23.724416229116937,80.33819665871127,2179,95.0,61.0
454,Mandla,Madhya Pradesh,1054905,22.70348712446353,80.38600543633753,912,101.0,57.0
433,Mandsaur,Madhya Pradesh,1340411,24.19278764044944,75.43588667736759,2324,96.0,62.0
419,Morena,Madhya Pradesh,1965970,26.37313504531724,77.88447341389724,1781,84.0,60.0
432,Neemuch,Madhya Pradesh,826067,24.70311893333336,75.06608186666664,1945,95.0,62.0
426,Panna,Madhya Pradesh,1016520,24.45132584009265,80.21133001158752,653,91.0,54.0
446,Raisen,Madhya Pradesh,1331597,23.292518206521727,78.16305495923909,1141,90.0,62.0
442,Rajgarh,Madhya Pradesh,1545814,23.785499026425587,76.66431223922115,1611,96.0,52.0
434,Ratlam,Madhya Pradesh,1455069,23.503562290502792,75.14895782122909,3644,97.0,57.0
430,Rewa,Madhya Pradesh,2365106,24.86118462515885,81.57572465057183,3406,93.0,61.0
427,Sagar,Madhya Pradesh,2378458,23.800318709677374,78.71940357771274,4546,89.0,65.0
429,Satna,Madhya Pradesh,2228935,24.62777621776502,80.75547048710598,3754,93.0,62.0
445,Sehore,Madhya Pradesh,1311332,22.9297199679658,77.06780202883084,1566,92.0,60.0
456,Seoni,Madhya Pradesh,1379131,22.33230487804874,79.66053863928111,1182,98.0,63.0
460,Shahdol,Madhya Pradesh,1066063,23.448598645598192,81.4596831828442,1733,97.0,57.0
436,Shajapur,Madhya Pradesh,1512681,23.56662031722055,76.33555181268885,1382,94.0,59.0
418,Sheopur,Madhya Pradesh,687861,25.78014810996563,77.16911116838484,273,90.0,48.0
423,Shivpuri,Madhya Pradesh,1726050,25.378024518743672,77.74861600810549,1852,88.0,52.0
462,Sidhi,Madhya Pradesh,1127033,24.17547189952905,82.1053783359498,837,96.0,53.0
424,Tikamgarh,Madhya Pradesh,1445166,25.14099852104666,78.89357064846428,1090,90.0,52.0
435,Ujjain,Madhya Pradesh,1986864,23.319288862745065,75.80383717647058,7501,96.0,62.0
431,Umaria,Madhya Pradesh,644758,23.59601063063061,80.90879477477475,839,95.0,55.0
443,Vidisha,Madhya Pradesh,1458875,23.82838307984792,77.9013507604563,1926,90.0,59.0
501,Akola,Maharashtra,1813906,20.746310479041902,77.12122320359276,6163,95.0,78.0
503,Amravati,Maharashtra,2888445,21.16520991810736,77.67583503184724,9438,95.0,78.0
235,Aurangabad,Maharashtra,2540073,20.0979228832952,75.32072196796334,2362,93.0,58.0
515,Aurangabad,Maharashtra,3701282,20.0979228832952,75.32072196796334,23258,92.0,68.0
506,Bhandara,Maharashtra,1200334,21.211792649727744,80.10950199637023,2932,98.0,75.0
509,Chandrapur,Maharashtra,2204307,20.095609090909072,79.31556380471388,8239,96.0,72.0
498,Dhule,Maharashtra,2050862,21.274018690400517,74.58719071837263,6065,95.0,63.0
512,Hingoli,Maharashtra,1177345,19.59525302245251,77.09239412780653,1221,94.0,67.0
499,Jalgaon,Maharashtra,4229917,20.8828943415638,75.55140421810695,14297,92.0,68.0
514,Jalna,Maharashtra,1959046,19.984612534818933,75.98473607242339,3791,94.0,61.0
530,Kolhapur,Maharashtra,3876001,16.44881301587301,74.12897150793648,22269,96.0,73.0
524,Latur,Maharashtra,2454196,18.348687268993853,76.75812607802874,6217,93.0,67.0
